customerid,creditscore,balance,estimatedsalary
15676966,730,0.0,85982.47
15699461,515,176273.95,121277.78
15738721,773,102827.44,64595.25
15693683,814,97086.4,197276.13
15604348,710,0.0,99645.04
15633059,413,0.0,6534.18
15808582,665,0.0,161848.03
15743192,623,0.0,167162.43
15580146,738,82674.15,41970.72
15776605,528,0.0,60536.56
15804919,670,0.0,177655.68
15613854,622,107073.27,30984.59
15599195,582,88938.62,10054.53
15812878,785,99806.85,36976.52
15602312,605,150092.8,71862.79
15744689,479,92833.89,99449.86
15803526,685,90536.81,63082.88
15665790,538,108055.1,27231.26
15715951,562,100238.35,86797.41
15591100,675,106190.55,22994.32
15609618,721,154475.54,101300.94
15675522,628,132351.29,74169.13
15705512,668,167864.4,115638.29
15698028,506,0.0,31766.3
15661670,524,107818.63,199725.39
15600781,699,185173.81,120834.48
15682472,828,129433.34,38131.77
15580203,674,120193.42,100130.95
15690673,656,0.0,141069.88
15760085,684,126384.42,198129.36
15779659,625,0.0,183646.41
15627360,432,152603.45,110265.24
15671137,549,0.0,8636.05
15782688,625,148507.24,46824.08
15575492,828,0.0,171378.77
15591607,770,101827.07,167256.35
15740404,758,0.0,124226.16
15718369,795,130862.43,114935.21
15677871,687,122570.87,35608.88
15642004,686,0.0,16459.37
15712543,789,124828.46,124411.08
15584518,589,144895.05,34941.23
15802381,461,63663.93,167784.28
15610156,637,133463.1,93165.34
15594408,584,213146.2,75161.25
15640905,579,129490.36,8590.83
15698932,756,137452.09,189543.9
15724944,663,0.0,180427.24
15628145,682,125851.93,193318.33
15713483,793,0.0,159123.82
15612350,691,40915.55,126213.84
15800703,485,113157.22,54141.5
15705707,635,138296.94,141075.51
15754105,650,106967.18,24495.03
15703264,735,120681.63,74836.34
15794413,416,0.0,878.87
15650237,754,0.0,89520.75
15759618,535,0.0,149892.79
15811589,716,0.0,180800.42
15689044,539,127609.59,98646.22
15709368,614,0.0,109041.53
15679145,706,0.0,17941.16
15655007,758,0.0,82996.47
15623595,586,0.0,92067.35
15589975,646,97259.25,104719.66
15804017,631,123246.7,112687.57
15692132,717,101060.25,84699.56
15641122,684,0.0,83473.82
15630910,800,108007.36,47125.11
15680772,721,0.0,106977.8
15658929,683,133702.89,55582.54
15585388,660,125189.75,139874.43
15724623,704,113034.22,162503.48
15588537,615,109013.23,196499.96
15574692,667,0.0,40721.24
15611325,682,57929.81,53134.3
15587562,484,130114.39,164017.89
15613172,628,95826.49,155996.96
15651022,480,129608.57,5472.7
15586310,578,169462.09,112187.11
15625524,512,0.0,146457.83
15755209,484,133868.21,27286.1
15645248,510,0.0,130553.47
15790355,606,190479.48,179351.89
15762615,597,101993.12,94774.12
15625426,754,161608.81,8080.85
15716334,850,122311.21,19482.5
15789669,510,0.0,48071.61
15621075,778,162150.42,174531.27
15810845,636,0.0,55470.78
15719377,804,0.0,8546.87
15654506,514,0.0,95857.18
15771977,730,99010.67,194945.8
15708710,525,0.0,131521.72
15726676,616,0.0,196108.51
15587421,687,111388.18,148564.76
15726931,715,56214.85,92982.61
15771086,512,84327.77,17675.36
15756850,479,0.0,114996.43
15702741,601,93012.89,86957.42
15679200,580,61710.44,128077.8
15594815,807,174790.15,600.36
15635905,616,0.0,43001.46
15777892,721,107720.64,158591.12
15656176,501,0.0,47847.19
15811127,521,96423.84,10488.44
15604482,850,141040.01,5978.2
15622911,759,105420.18,121409.06
15600974,516,0.0,146145.93
15727868,711,129022.06,14374.86
15627801,512,176666.62,94670.77
15773039,550,0.0,179670.31
15755262,608,89763.84,199304.74
15679531,618,134954.53,151954.39
15684181,643,0.0,142513.5
15612087,671,106376.85,158264.62
15752047,689,161814.64,169381.9
15624592,603,0.0,169915.02
15573152,620,0.0,88852.47
15594917,676,63095.01,40645.81
15785542,572,118287.01,60427.3
15723488,668,106854.21,157959.02
15680920,695,49512.55,133007.34
15786308,730,0.0,176576.62
15659366,807,105799.32,34888.04
15774854,592,0.0,28737.71
15725311,726,114722.05,98178.57
15787155,514,0.0,125010.24
15727829,567,0.0,167984.61
15733247,850,0.0,4861.72
15568748,671,99564.22,108872.45
15699029,670,170557.91,198252.88
15774393,694,0.0,26960.31
15676895,547,74596.15,85746.52
15637753,751,96888.39,77206.25
15605461,594,130830.22,61048.53
15808473,673,0.0,111981.19
15627000,610,0.0,62232.6
15787174,512,0.0,156105.03
15723886,767,119714.25,150135.38
15704769,585,113978.97,93146.11
15772896,763,100160.75,33462.94
15711540,712,0.0,144375.0
15764866,539,116220.5,55803.96
15794056,668,0.0,89048.46
15795149,703,81173.83,162812.16
15812009,662,0.0,136259.65
15651001,725,116803.8,124052.97
15813844,703,105961.68,74158.8
15596175,659,117411.6,45071.09
15576269,523,0.0,62030.06
15797219,635,123497.58,131953.23
15685500,772,152400.51,79414.0
15599792,545,0.0,199638.56
15657566,634,103097.85,157577.29
15772423,739,126418.14,134420.75
15628112,771,77846.9,99805.99
15753754,587,0.0,97932.68
15793726,681,0.0,170968.99
15694717,544,79731.91,57558.95
15665834,696,0.0,176713.47
15765297,766,0.0,34283.23
15636684,727,0.0,198637.34
15592979,671,37266.67,156917.12
15750803,693,127992.25,50457.2
15607178,850,54901.01,140075.55
15713853,732,108748.08,65323.11
15673481,726,99906.19,64323.24
15686776,557,184686.41,14956.44
15673693,682,110654.02,111879.21
15700696,738,79019.8,18606.23
15813163,531,99240.51,123137.01
15653857,498,0.0,148528.24
15777076,651,0.0,13898.31
15717398,549,0.0,81259.25
15799217,791,52436.2,161051.75
15787071,650,0.0,191599.67
15619955,733,100337.96,48559.19
15796505,811,149297.19,186339.74
15725166,707,0.0,33159.37
15800116,712,145605.44,93883.53
15758685,706,0.0,110899.3
15694456,756,0.0,11199.04
15767339,777,0.0,189992.97
15683562,646,84026.86,164255.69
15782210,714,0.0,152167.79
15668893,782,0.0,33949.67
15669169,775,0.0,68143.93
15643024,479,138718.92,47251.79
15699389,807,118274.71,25885.72
15708608,799,174185.98,192633.85
15626144,675,113208.86,34577.36
15573112,602,103907.28,161229.84
15790678,475,119023.28,100816.29
15727556,744,166297.89,181694.44
15697307,588,0.0,79078.91
15652266,703,63227.0,137316.32
15607098,747,94521.17,194926.86
15655774,583,0.0,51285.49
15590241,750,112822.26,150401.53
15785819,681,0.0,112491.96
15723654,773,135903.33,73656.38
15774510,714,125169.26,106636.89
15684173,687,0.0,155853.52
15650068,511,149117.31,162599.51
15811490,627,0.0,103737.82
15803976,694,0.0,160990.27
15682541,616,132311.71,15462.84
15695699,687,0.0,10334.05
15624188,712,0.0,190686.16
15812191,553,118082.89,94440.45
15636673,667,119266.69,28257.63
15594898,731,0.0,170034.95
15660211,629,156847.29,31824.29
15773972,614,137104.47,127166.49
15746726,438,78398.69,44937.01
15712287,652,0.0,188603.07
15702919,729,63669.42,145111.37
15674398,642,0.0,171463.83
15797960,806,135296.33,182822.5
15631868,744,153804.44,87213.33
15581539,474,0.0,57175.32
15662736,559,147069.78,120540.83
15666252,706,0.0,28714.34
15677512,628,0.0,85426.28
15626114,429,95741.75,46170.75
15810834,525,145965.33,64448.36
15678910,680,141441.75,16278.97
15694408,749,139290.41,182855.42
15585215,763,0.0,50404.72
15682757,734,0.0,107640.25
15736601,716,144428.87,134132.65
15601848,594,0.0,103480.69
15736008,644,95441.27,108761.05
15669064,671,144848.74,179012.3
15624528,664,116244.14,95145.14
15598493,656,0.0,72143.44
15601274,667,146502.07,19162.89
15702669,663,117028.6,144680.18
15728669,584,112013.81,177772.03
15742668,626,108269.37,5597.94
15697441,485,182123.79,116828.51
15740476,659,150923.74,174652.51
15648064,649,0.0,2010.98
15636624,805,165272.13,14109.85
15807923,716,115301.31,43527.4
15745844,642,129502.49,86099.23
15786170,659,118342.26,161574.19
15681081,545,0.0,38970.14
15684484,543,0.0,127587.22
15785869,718,0.0,30380.12
15763859,840,0.0,90908.95
15658935,630,106937.05,138275.01
15747358,643,170331.37,32171.79
15735203,654,114510.85,126143.23
15576256,582,0.0,129892.93
15659420,659,107594.11,102416.84
15593365,762,81273.13,18719.67
15777352,568,169399.6,61936.22
15812007,670,0.0,78358.94
15625461,613,187841.99,147224.27
15739438,539,0.0,160979.66
15611759,850,126776.3,132298.49
15661629,522,126436.29,174248.52
15633950,737,101960.74,123547.28
15592386,520,0.0,32790.02
15803716,706,0.0,181543.67
15696674,643,150842.93,2319.96
15706365,648,102535.57,189543.19
15745088,443,99027.61,10940.4
15676715,640,0.0,199493.38
15613085,628,0.0,188193.25
15633537,540,87271.41,172572.64
15594720,460,102742.91,189339.6
15684042,636,40105.51,53512.16
15583303,593,152265.43,34004.44
15611579,801,141947.67,10598.29
15774696,640,106307.91,113428.77
15694506,611,107884.81,183487.98
15688074,802,125013.72,187658.09
15759537,717,58469.37,172459.39
15758449,769,0.0,21016.0
15583456,745,117231.63,122381.02
15667871,572,152390.26,128123.66
15677371,629,34013.63,19570.63
15629677,687,0.0,188150.6
15713578,483,0.0,111020.24
15591509,690,101583.11,123775.15
15568240,492,77168.87,146700.22
15622993,709,124695.72,145251.35
15689294,705,105934.96,82463.69
15720910,560,0.0,15928.49
15721181,611,0.0,45886.33
15776433,730,0.0,186489.95
15748936,709,0.0,162922.65
15717225,544,161525.96,9262.77
15685226,712,147199.07,84932.4
15785611,752,183102.29,71557.12
15573456,648,127209.0,77405.95
15684548,556,0.0,417.41
15620505,594,97378.54,71405.17
15807432,645,136925.09,153400.24
15584766,557,54503.55,371.05
15612187,547,155726.85,67789.99
15762218,701,0.0,145894.9
15646372,616,135842.41,183840.51
15690452,605,63349.75,108887.44
15747795,593,129499.42,154071.27
15781589,751,0.0,179291.85
15732674,443,70438.01,56937.43
15642291,685,0.0,112239.03
15692761,718,0.0,45909.87
15578045,538,141434.04,173779.25
15745354,611,0.0,125696.26
15701376,668,152958.29,159585.61
15691625,537,138306.34,106761.47
15566594,709,0.0,129590.18
15760431,850,0.0,80006.65
15686302,745,124328.84,140451.52
15801559,693,181461.48,187929.43
15810432,795,0.0,167155.36
15809616,626,0.0,191420.71
15720559,487,110368.03,11384.45
15695632,556,89588.35,94898.1
15659843,643,0.0,106781.59
15615624,605,0.0,159508.52
15810418,756,115924.89,93524.19
15716186,586,0.0,87168.46
15674551,535,111756.5,8128.32
15622834,678,0.0,125518.32
15566111,596,0.0,48963.59
15784597,648,162923.85,98368.24
15652883,492,124576.65,148584.61
15806964,702,80793.58,27474.81
15576313,486,71340.09,76192.21
15806467,568,99282.63,134600.94
15597602,619,137946.39,72467.99
15743040,724,127892.57,199645.45
15705521,548,101084.36,42749.85
15595039,545,114754.08,136050.44
15799384,683,0.0,73564.44
15581197,762,99286.98,85578.63
15693737,627,79871.02,129826.89
15624623,516,104088.59,119666.0
15783501,800,168190.33,68052.08
15690134,464,85679.25,164104.74
15782735,626,0.0,80190.36
15611088,790,0.0,84126.75
15672145,534,121551.58,70179.0
15732628,745,122220.19,118024.1
15787470,553,116528.15,145704.19
15803406,748,77780.29,183049.41
15730460,722,0.0,120906.83
15644572,501,125832.2,100433.83
15694860,675,68065.8,138777.0
15658169,778,127299.34,124694.99
15794396,494,174937.64,40084.32
15785798,850,0.0,119232.33
15710825,592,110071.1,43921.36
15668444,590,139432.37,62222.81
15726631,758,127357.76,56577.0
15733797,506,0.0,164253.35
15747960,733,0.0,7666.73
15634632,711,0.0,68487.51
15707362,514,95556.31,199273.98
15662976,637,0.0,186062.36
15732778,468,111681.98,195711.16
15718443,539,0.0,36692.17
15670039,509,108738.71,106920.57
15773792,662,133950.37,48725.68
15613786,818,0.0,167036.94
15726032,608,89968.69,68777.26
15663252,850,0.0,18924.92
15593782,816,130878.75,71905.77
15633283,536,0.0,64833.28
15749167,753,0.0,184843.77
15759298,631,134169.62,176730.02
15683625,703,149762.08,20629.4
15635367,774,93844.69,28415.36
15681705,785,0.0,77231.27
15603156,571,0.0,102750.7
15591986,621,141078.37,34580.8
15798888,605,117992.59,183598.77
15809722,611,100812.33,147358.27
15677538,569,0.0,108469.2
15797736,658,80262.6,20612.82
15695585,788,156478.62,181196.76
15744398,525,0.0,160249.1
15750658,798,0.0,110783.28
15578186,486,115217.99,144995.33
15676519,615,0.0,150227.85
15637954,730,155470.55,53718.28
15758639,641,0.0,75248.3
15613772,542,135096.77,14353.43
15731744,692,0.0,130486.57
15807709,714,180075.22,100127.71
15714689,591,97541.24,196356.17
15699005,710,156067.05,9983.88
15624170,639,81550.94,118974.77
15725679,531,0.0,194998.34
15585865,673,170061.92,134901.34
15804256,765,92310.54,72924.56
15662403,622,169089.38,101057.95
15733616,806,80613.93,142838.64
15591995,757,121581.56,127059.04
15677020,570,0.0,116503.92
15727688,555,0.0,54405.79
15715941,692,0.0,88721.84
15714485,774,85891.55,74135.48
15730059,638,77637.35,111346.22
15715527,543,0.0,194902.16
15576623,584,0.0,31474.27
15805565,691,116927.89,21198.39
15677307,684,137326.65,186976.6
15773890,733,0.0,117202.19
15598883,599,0.0,143739.29
15568506,524,67238.98,161811.23
15761043,632,86569.76,98090.91
15782236,735,0.0,71095.41
15593601,734,133598.4,13107.24
15682048,605,136188.78,67110.59
15746902,793,0.0,88225.02
15752081,468,0.0,62256.87
15781307,779,120092.52,135925.72
15775912,698,101238.24,177815.87
15745417,707,89685.92,126471.13
15671256,850,211774.31,188574.12
15653547,850,131317.48,119175.45
15595766,527,93722.73,139093.73
15742358,696,101160.99,115916.55
15763274,661,120320.54,96463.25
15786063,776,0.0,112349.51
15600258,701,0.0,165303.79
15573318,610,0.0,166031.08
15653849,572,152827.99,38411.79
15694272,673,64097.75,77783.35
15736112,519,119035.35,29871.79
15749851,702,135219.57,59747.63
15663478,729,93694.42,79919.13
15592300,543,59408.63,76773.53
15567832,550,114354.95,54018.93
15776780,608,0.0,70649.64
15592846,639,128173.9,59093.39
15739803,686,0.0,127569.8
15794142,564,114931.35,18260.98
15762729,745,111071.36,73275.96
15667896,833,151226.18,136129.49
15626578,622,0.0,153237.59
15776223,597,64740.12,106841.12
15705953,721,169312.13,109078.35
15802593,504,0.0,87822.14
15615457,842,112652.08,126644.98
15708916,587,0.0,47414.15
15720187,479,143964.36,41879.99
15595440,508,122451.46,75808.1
15600651,749,0.0,47911.03
15750141,721,65253.07,28737.78
15657284,674,106901.94,2079.2
15763063,685,128509.63,121562.33
15709324,417,0.0,55003.79
15711309,574,129834.67,193131.42
15775318,590,154962.99,191932.27
15705515,587,138241.9,159418.1
15634844,598,91536.93,191468.78
15717046,741,0.0,38913.68
15571816,850,0.0,705.18
15670080,584,105204.01,138490.03
15800440,650,152968.73,82970.69
15665678,607,158261.68,76744.72
15665956,509,0.0,71244.59
15788126,689,121021.05,12182.15
15811773,543,0.0,141210.5
15651674,438,0.0,191763.07
15689614,687,137715.66,37938.74
15795564,737,121192.22,74890.58
15706647,761,0.0,166698.18
15728505,601,100486.18,62678.53
15730076,651,0.0,67740.08
15622003,745,92566.53,161519.77
15607312,648,0.0,159835.78
15644753,848,110929.96,30876.84
15653620,546,0.0,14858.1
15761986,439,138901.61,75685.97
15633922,755,123217.66,144183.1
15734674,593,0.0,65170.66
15658032,701,0.0,82526.92
15692671,701,0.0,169161.46
15737741,607,108431.87,109291.39
15576352,586,0.0,6057.81
15753719,547,72392.41,77077.14
15803689,647,119741.77,54954.51
15718057,760,100946.71,179614.8
15722010,621,170491.84,35588.07
15680998,725,0.0,117356.14
15614782,526,0.0,160696.72
15591047,519,157296.02,147278.43
15788291,713,144606.22,56594.36
15604044,700,134811.3,1299.75
15679587,666,115897.12,25095.03
15775153,630,82034.0,146326.45
15603925,779,174318.13,38296.21
15680970,611,114206.84,164061.6
15697183,685,0.0,107811.28
15567446,646,111574.41,30838.51
15637476,683,162448.69,9221.78
15714939,484,148249.54,33738.27
15683503,601,0.0,110916.15
15645569,762,123709.46,169654.57
15782569,687,0.0,69829.4
15592387,566,0.0,54926.51
15609286,702,150525.8,94728.49
15814035,601,0.0,80393.27
15661249,699,0.0,111307.98
15629117,584,0.0,19834.32
15607170,699,0.0,78397.24
15586585,698,111018.98,86410.28
15686611,495,129755.99,172749.65
15603203,650,0.0,1002.39
15619857,605,129555.7,13601.79
15805062,667,87202.38,77866.91
15660271,688,146133.39,175296.76
15745295,727,0.0,121751.04
15719352,754,170184.99,89593.26
15766575,612,140745.33,193437.89
15594594,546,139070.51,86945.0
15646161,673,0.0,183318.79
15682585,593,114193.24,71154.1
15603134,656,167878.5,151887.16
15636444,535,141616.55,75888.65
15773456,678,145747.67,89566.74
15745307,477,129120.64,26475.79
15604119,850,110349.82,126355.8
15626900,427,141325.56,93839.3
15605447,752,78653.84,7698.6
15589030,649,0.0,145593.85
15692463,799,142253.65,45042.56
15712403,589,0.0,61108.56
15811762,583,115988.86,57553.98
15718673,839,75592.43,62674.42
15724282,540,164113.04,12120.79
15738181,850,67996.23,50129.87
15633648,696,0.0,55022.43
15603323,660,0.0,117834.91
15583725,682,138778.15,168840.23
15588350,744,147832.15,24234.11
15798398,785,135438.4,190627.01
15784844,752,116060.08,156618.38
15580684,706,112564.62,42334.38
15809663,583,125406.58,110784.42
15640078,660,135134.99,173683.0
15698786,819,133102.92,27046.46
15569807,673,42157.08,20598.59
15730830,752,0.0,104991.28
15805112,578,82259.29,8996.97
15633064,438,0.0,64420.5
15703119,652,0.0,145700.22
15730447,629,0.0,196335.48
15813850,720,0.0,14781.12
15711889,668,150461.07,108139.23
15664610,459,133994.52,19287.06
15751710,729,164870.81,9567.39
15692926,498,121702.73,132210.49
15813741,549,193858.2,21600.11
15698474,601,131039.97,199661.5
15568595,544,113829.45,124341.49
15603065,751,0.0,15766.1
15592937,632,81877.38,33642.21
15699637,694,116326.07,117704.65
15667215,678,0.0,58803.28
15788659,695,0.0,137537.22
15763218,661,0.0,131300.68
15645772,661,0.0,84174.81
15725511,559,127070.73,160941.78
15575024,503,0.0,143954.99
15640825,695,122549.64,56297.85
15662397,640,176099.13,8404.73
15576368,624,122388.38,30020.09
15674991,667,0.0,58137.42
15721024,642,0.0,47472.68
15745621,640,118879.35,19131.71
15642394,529,0.0,187288.5
15754605,563,0.0,17603.81
15607040,593,88736.44,67020.03
15715142,739,102703.62,147802.94
15810978,788,0.0,41610.62
15668886,684,0.0,44255.65
15780804,482,97318.25,78416.14
15613880,591,128468.69,137254.55
15775238,651,133432.59,151303.48
15786905,749,141782.57,86333.63
15747867,583,135125.28,89801.9
15600337,661,178820.91,29358.57
15801277,715,112212.14,181600.72
15579334,769,126674.81,124118.71
15802741,625,136294.97,38867.46
15720649,641,66392.64,31106.67
15589493,716,122552.34,67611.36
15688251,767,76408.85,77837.63
15665238,745,145071.24,6078.46
15740900,589,0.0,177896.92
15681068,796,109730.22,123882.73
15748625,664,0.0,15304.08
15727299,445,64119.38,76569.64
15620204,543,106138.33,120657.32
15669516,746,0.0,16436.56
15736534,742,181656.51,107667.91
15803457,750,0.0,95611.47
15659098,669,95128.86,19799.26
15603436,594,126615.94,123214.74
15566292,574,0.0,71709.12
15808621,659,76190.48,149066.14
15580148,750,168286.81,20451.99
15776231,626,88109.81,32825.5
15773809,620,0.0,6232.31
15649423,580,0.0,10357.03
15734886,686,123971.51,147794.63
15722548,540,148116.48,116973.48
15650288,634,116269.01,129964.94
15629448,632,120599.21,92816.86
15716164,501,144260.5,172114.67
15807609,650,86605.5,16649.31
15578977,786,0.0,144517.19
15677369,554,58629.97,182038.6
15804072,701,0.0,24210.56
15696859,474,0.0,172175.9
15653780,621,0.0,47578.45
15721658,672,209767.31,150694.42
15578761,459,129634.25,177683.02
15736879,669,0.0,66088.83
15571973,776,169824.46,169291.7
15626742,694,97530.25,117140.41
15672692,787,145988.65,79510.37
15673570,580,0.0,77108.66
15767432,711,0.0,9679.28
15654238,673,137494.28,81753.92
15612525,499,0.0,131372.38
15812750,591,147360.0,25310.82
15790757,769,0.0,187925.75
15723873,657,125167.02,98820.39
15744607,738,121152.05,64166.7
15612966,545,128981.07,176924.21
15784209,497,0.0,90055.08
15794278,816,151858.98,72814.31
15766741,525,114628.4,168290.06
15661036,725,0.0,161767.38
15705639,692,95059.02,44420.18
15637414,618,128736.39,37147.61
15716835,546,156325.38,125381.02
15696231,635,105405.97,149853.89
15641675,611,88915.37,161435.02
15670755,650,0.0,102925.76
15640059,606,0.0,70899.27
15787619,844,160980.03,145936.28
15587535,450,177619.71,54227.06
15813034,727,62276.99,59280.79
15698839,460,127559.97,126952.5
15790314,649,0.0,130567.02
15634245,758,95523.16,73294.48
15677305,490,107749.03,3937.37
15661526,815,110777.26,2383.59
15685997,838,166733.92,14279.44
15660101,803,157120.86,141300.53
15637979,664,127160.78,78140.75
15815364,736,0.0,117431.1
15647099,633,156091.97,72008.61
15625944,664,98668.18,60887.58
15583212,600,134022.06,194764.83
15582741,693,124151.09,88705.14
15637876,663,77253.5,35817.97
15622750,742,114292.48,31520.4
15672056,710,140080.32,157908.19
15812351,710,135277.96,142200.15
15810864,700,0.0,182055.36
15677921,720,115920.62,157552.08
15724296,684,119782.72,120284.67
15685329,531,114715.71,24506.95
15584091,742,129748.54,47271.61
15640442,717,129722.57,41176.6
15639314,589,0.0,9468.64
15685320,767,139180.2,123880.19
15789158,636,113599.74,158887.09
15752137,648,134944.0,117036.38
15712551,622,116922.25,120415.61
15628936,692,118945.09,16064.25
15797227,754,0.0,52615.62
15769974,679,119182.73,121210.09
15737051,639,0.0,192247.35
15585595,774,71264.02,68759.57
15654060,517,0.0,75937.47
15745196,571,0.0,84569.13
15571221,747,116313.57,190696.35
15660155,792,92140.15,67468.67
15605284,688,0.0,104435.94
15694366,714,177640.09,47166.55
15600739,562,0.0,119899.52
15653253,704,167997.6,173498.45
15763431,698,82275.35,93249.26
15643696,611,0.0,142917.54
15707473,850,111962.99,111755.8
15769504,743,131736.88,108543.21
15776807,654,0.0,180345.44
15686870,761,108239.11,99444.02
15668747,702,98444.19,109563.28
15766908,488,114540.38,92568.07
15570134,683,187530.66,37976.36
15567367,601,133636.16,103315.74
15747542,605,0.0,173952.5
15762238,671,84745.03,34673.98
15681554,614,120599.38,46163.44
15712825,511,0.0,140676.98
15640280,850,127771.35,151738.54
15756026,790,0.0,14679.81
15613319,793,0.0,175544.02
15798906,628,0.0,181964.6
15708917,598,167772.96,136886.86
15778463,657,95845.6,122218.23
15699430,618,0.0,180439.75
15649992,681,134714.7,190419.81
15578980,516,0.0,58685.59
15775306,421,122384.22,89017.38
15641655,700,0.0,50051.42
15619708,745,157993.15,146041.45
15734565,696,0.0,191166.09
15806438,580,123331.36,103516.08
15591969,497,75263.16,164825.04
15747807,720,137824.03,172557.77
15596939,659,132578.92,84320.94
15716155,841,156021.31,122662.98
15765311,642,0.0,72085.1
15757811,732,137453.43,110932.24
15603830,600,0.0,143635.36
15660602,464,164284.72,3710.34
15660535,680,0.0,179843.33
15666633,758,0.0,10643.38
15596914,630,112373.49,131167.98
15639788,577,0.0,10553.31
15695846,684,0.0,130928.22
15726234,708,0.0,157003.99
15797964,732,154333.82,138527.56
15625881,634,111432.77,167032.49
15780628,633,0.0,41642.29
15575883,559,137390.11,9677.0
15585036,694,0.0,147012.22
15589488,686,111642.08,80553.87
15585888,553,0.0,30730.95
15727915,507,83543.37,140134.43
15707567,732,145338.76,91936.1
15737792,818,186796.37,178252.63
15599433,660,58641.43,198674.08
15672012,773,0.0,28266.9
15806983,640,137148.68,92381.01
15592222,505,80001.23,135180.11
15608968,714,86402.52,27330.59
15586959,468,0.0,125305.34
15646558,611,122874.74,149648.45
15725811,705,97544.29,59887.15
15572265,646,170826.55,45041.32
15794048,667,97133.92,113316.77
15677610,511,153895.65,39087.42
15745012,653,0.0,7330.59
15601589,675,0.0,95463.29
15686436,523,0.0,167848.02
15693864,567,134956.02,93953.84
15760550,741,143637.58,174227.66
15686137,456,147506.25,135399.21
15809087,598,0.0,195635.3
15807663,667,190227.46,97508.04
15809100,548,172448.77,188083.77
15794916,725,113980.21,116704.25
15614215,717,0.0,97614.87
15805449,594,0.0,186884.04
15686983,678,76968.12,131501.72
15808017,545,88293.13,24302.95
15756804,636,170833.46,110510.28
15646810,603,108122.39,108488.33
15710424,435,0.0,197015.2
15799422,535,0.0,27689.77
15692750,629,129818.39,9217.55
15794549,722,163943.89,15068.18
15803764,561,0.0,7797.01
15674840,645,101430.3,4400.32
15653762,501,117301.66,182025.95
15581229,502,173340.83,122763.95
15800228,652,0.0,38152.01
15656333,574,134348.57,63163.99
15697497,518,105525.65,73418.29
15585362,749,0.0,17978.68
15571928,679,0.0,115136.51
15785519,565,106192.1,149575.59
15743007,643,45144.43,60917.24
15777211,515,92113.61,142548.33
15721935,521,0.0,157878.67
15591711,739,128366.44,12796.43
15625021,585,0.0,18657.77
15702968,733,106545.53,134589.58
15600462,542,145618.37,10350.74
15768104,788,141541.25,66013.27
15780140,435,57017.06,5907.11
